Assault,Robbery,Rape,Murder,Theft,Vehicle Theft,Burglary,Arson,Kidnapping,Drug Crimes,Vandalism,Identity Theft,Animal Cruelty,Total Violent Crime,Total Violent Crime Grade,Total Property Crime,Total Property Crime Grade,Total “Other” Rate,Total “Other” Rate Grade,Total Crime,Total Crime Grade,Zipcode,City
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99514,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99515,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99516,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99517,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99518,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99519,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99520,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99521,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99522,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99523,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99524,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99529,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99530,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99599,anchorage-ak
15.56,1.021,1.511,0.0132,15.07,8.937,3.822,0.5794,0.7504,9.39,10.71,1.317,0.0613,18.11,F,28.41,D,22.23,D,68.75,D-,99695,anchorage-ak
2.896,0.4258,0.4252,0.0387,6.035,0.1447,4.016,0.0328,0.0355,1.338,10.61,1.274,0.1698,3.785,D,10.23,B,13.43,D,27.445,C+,61720,anchor-il
0.8137,0.2837,1.412,0.0387,2.312,2.433,6.035,0.6261,0.4053,15.6,14.97,1.187,0.1059,2.548,C,11.41,B,32.27,F,46.228,D,99556,anchor-point-ak
0.9377,0.3481,0.6735,0.0109,3.813,0.584,1.898,0.0393,0.0528,0.1429,1.296,1.107,0.0179,1.97,B,6.334,A,2.616,A,10.92,A+,48004,anchorville-mi
5.162,0.3416,0.4238,0.0596,7.043,0.159,3.708,0.1099,0.2634,2.335,6.068,1.262,0.0442,5.987,D,11.02,B,9.973,C,26.979999999999997,C+,61311,ancona-il
0.7832,0.3708,0.2662,0.0119,1.272,0.067,0.7329,0.0054,0.0315,0.2497,2.438,0.9474,0.0392,1.432,A,2.077,A,3.706,A,7.215,A+,12503,ancramdale-ny
